2026-08-04 18:49:53.548 [http-nio-8081-exec-41] INFO  com.knockfish.aspect.LogAspect - [删除文章] 请求开始 - DELETE /api/article/66 - ArticleController.deleteArticle - 参数: 66
2026-08-04 18:49:53.562 [http-nio-8081-exec-41] INFO  com.knockfish.service.impl.ArticleServiceImpl - 文章删除成功: articleId=66, title=
2026-08-04 18:49:53.567 [http-nio-8081-exec-41] INFO  com.knockfish.aspect.LogAspect - [删除文章] 请求成功 - 执行时间: 19ms
2026-08-04 18:49:53.582 [http-nio-8081-exec-42] INFO  com.knockfish.security.JwtAuthenticationFilter - === 请求路径: /api/article/draft, 方法: GET
2026-08-04 18:49:53.596 [http-nio-8081-exec-42] INFO  com.knockfish.aspect.LogAspect - [获取10条草稿] 请求开始 - GET /api/article/draft - ArticleController.getDraftByUserId - 参数: 无
2026-08-04 18:49:53.603 [http-nio-8081-exec-42] INFO  com.knockfish.aspect.LogAspect - [获取10条草稿] 请求成功 - 执行时间: 7ms
2026-08-04 18:49:54.286 [http-nio-8081-exec-43] INFO  com.knockfish.security.JwtAuthenticationFilter - === 请求路径: /api/article/with-tag/36, 方法: GET
2026-08-04 18:49:54.299 [http-nio-8081-exec-43] INFO  com.knockfish.aspect.LogAspect - [获取文章详情(含标签)] 请求开始 - GET /api/article/with-tag/36 - ArticleController.getArticleWithTagsById - 参数: 36
2026-08-04 18:49:54.307 [http-nio-8081-exec-43] INFO  com.knockfish.aspect.LogAspect - [获取文章详情(含标签)] 请求成功 - 执行时间: 7ms
2026-08-04 18:50:09.055 [http-nio-8081-exec-44] INFO  com.knockfish.security.JwtAuthenticationFilter - === 请求路径: /api/article, 方法: PUT
